File,Score
TestReal-Pt28_PD_PBMC_Day0.tsv,0.3099382817745209
TestReal-Pt23_PR_PBMC_Day0.tsv,0.3071219027042389
TestReal-Pt11_NE_PBMC_Day0.tsv,0.2987316846847534
TestReal-Pt13_NE_PBMC_Day0.tsv,0.3128747045993805
TestReal-Pt18_NE_PBMC_Day0.tsv,0.3053450882434845
TestReal-Pt22_SD_PBMC_Day0.tsv,0.3144216239452362
TestReal-Pt15_NE_PBMC_Day0.tsv,0.2959452271461487
TestReal-Pt5_SD_PBMC_Day0.tsv,0.3140964210033417
TestReal-Pt17_PR_PBMC_Day0.tsv,0.27560681104660034
TestReal-Pt44_PR_PBMC_Day0.tsv,0.3043666481971741
TestReal-Pt36_PD_PBMC_Day0.tsv,0.32536551356315613
TestReal-Pt37_PR_PBMC_Day0.tsv,0.3145335912704468
TestReal-Pt38_PD_PBMC_Day0.tsv,0.3090035319328308
TestReal-Pt35_NE_PBMC_Day0.tsv,0.3257395327091217
TestReal-Pt6_NE_PBMC_Day0.tsv,0.29910245537757874
TestReal-Pt21_NE_PBMC_Day0.tsv,0.3088035583496094
TestReal-Pt32_SD_PBMC_Day0.tsv,0.33065080642700195
TestReal-Pt27_PD_PBMC_Day0.tsv,0.3271675705909729
TestReal-Pt30_SD_PBMC_Day0.tsv,0.3271307349205017
TestReal-Pt41_NE_PBMC_Day0.tsv,0.31471750140190125
TestReal-Pt1_PR_PBMC_Day0.tsv,0.3005119562149048
TestReal-Pt40_PD_PBMC_Day0.tsv,0.3342607021331787
TestReal-Pt10_PD_PBMC_Day0.tsv,0.32765841484069824
TestReal-Pt3_CR_PBMC_Day0.tsv,0.3093148469924927
TestReal-Pt43_PD_PBMC_Day0.tsv,0.311525821685791
TestReal-Pt9_SD_PBMC_Day0.tsv,0.37122371792793274
TestReal-Pt16_PD_PBMC_Day0.tsv,0.3453122675418854
TestReal-Pt4_CR_PBMC_Day0.tsv,0.28837916254997253
TestReal-Pt29_NE_PBMC_Day0.tsv,0.314985066652298
