File,Score
TestReal-16_Lung.tsv,0.4766991436481476
TestReal-2_Lung.tsv,0.46397602558135986
TestReal-13_Lung.tsv,0.4681801497936249
TestReal-15_Lung.tsv,0.44919729232788086
TestReal-20_Lung.tsv,0.4376278817653656
TestReal-11_Lung.tsv,0.48821860551834106
TestReal-10_Lung.tsv,0.46211162209510803
TestReal-4_Lung.tsv,0.44655823707580566
TestReal-1_Lung.tsv,0.46867677569389343
TestReal-9_Lung.tsv,0.45226579904556274
TestReal-12_Lung.tsv,0.4646468758583069
TestReal-14_Lung.tsv,0.42582371830940247
TestReal-8_Lung.tsv,0.43272069096565247
TestReal-7_Lung.tsv,0.4443899393081665
TestReal-19_Lung.tsv,0.4321761429309845
TestReal-17_Lung.tsv,0.44955331087112427
TestReal-5_Lung.tsv,0.421649307012558
TestReal-18_Lung.tsv,0.43144580721855164
TestReal-3_Lung.tsv,0.42355629801750183
TestReal-6_Lung.tsv,0.46622222661972046
